epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,8516.87,0.67035,0.88087,0.58386,0.98181,0.85572,0.86098,0.90897,0.70922,0.83703,0.87097,0.8859,0.66086,0.83909,0.93333,0.80852,1.01399,0.0004556,0.0004556,0.0004556
41,8726.94,0.67103,0.86932,0.60394,0.98626,0.87688,0.86158,0.90767,0.69984,0.85178,0.83422,0.88306,0.64654,0.86488,0.94685,0.83809,1.00698,0.000416,0.000416,0.000416
42,8937.52,0.65913,0.92314,0.59242,0.98415,0.85653,0.87903,0.91876,0.716,0.83964,0.8629,0.88794,0.67179,0.80274,0.94199,0.74101,0.99259,0.0003764,0.0003764,0.0003764
43,9145.91,0.64367,0.86944,0.57117,0.95584,0.90227,0.89344,0.92543,0.73111,0.88244,0.84747,0.90885,0.69141,0.84228,0.8779,0.7542,0.9974,0.0003368,0.0003368,0.0003368
44,9354.91,0.62731,0.81752,0.53069,0.98165,0.89409,0.88505,0.91926,0.71569,0.84794,0.85484,0.89913,0.6857,0.82353,0.9515,0.73833,0.98998,0.0002972,0.0002972,0.0002972
45,9563.98,0.60158,0.80904,0.52176,0.95591,0.89503,0.89389,0.92978,0.7228,0.87895,0.87836,0.9193,0.69738,0.78676,0.88782,0.69785,0.9827,0.0002576,0.0002576,0.0002576
46,9771.74,0.58067,0.81431,0.53242,0.93634,0.89386,0.84677,0.91308,0.7268,0.89735,0.83871,0.92246,0.68885,0.77508,0.90768,0.70399,0.9929,0.000218,0.000218,0.000218
47,9980.24,0.60587,0.86015,0.51712,0.94558,0.88055,0.89173,0.92754,0.72905,0.89915,0.86277,0.92455,0.70082,0.78372,0.88036,0.70038,0.97664,0.0001784,0.0001784,0.0001784
48,10189.4,0.57407,0.75926,0.49079,0.93537,0.87152,0.89516,0.92359,0.73193,0.88852,0.8629,0.92209,0.70551,0.77824,0.89176,0.68663,0.99805,0.0001388,0.0001388,0.0001388
49,10396.8,0.59431,0.83171,0.52708,0.93714,0.90293,0.90023,0.92622,0.73216,0.92595,0.84677,0.9185,0.69275,0.79048,0.88637,0.69758,1.01339,9.92e-05,9.92e-05,9.92e-05
50,10605.5,0.58963,0.76804,0.48844,0.92152,0.87408,0.91935,0.92689,0.73962,0.89567,0.90323,0.93217,0.70729,0.77376,0.87569,0.69889,1.00609,5.96e-05,5.96e-05,5.96e-05
